molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL159353,FC(F)(F)Oc1ccc(N/C(S)=N/CCC2CCN(CC3CCCCC3)CC2)cc1,2500.0,intermediate
CHEMBL159702,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc(C(=O)c2ccccc2)cc1,14.0,active
CHEMBL161274,CCN(CCC1CCN(Cc2ccccc2)CC1)C(=S)NC(=O)c1ccccc1,300.0,active
CHEMBL159813,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc(C(F)(F)F)cc1,33.0,active
CHEMBL349043,Fc1c(F)c(F)c(/N=C(\S)NCCC2CCN(Cc3ccccc3)CC2)c(F)c1F,3000.0,intermediate
CHEMBL159704,CC(=O)c1ccc(C(=O)NC(=S)NCCC2CCN(Cc3ccccc3)CC2)cc1,7.5,active
CHEMBL159454,S=C(NCCC1CCN(Cc2ccccc2)CC1)Nc1ccncc1,210.0,active
CHEMBL161795,O=C(NCCC1CCN(Cc2ccccc2)CC1)NCc1ccccc1,1400.0,intermediate
CHEMBL351536,N=C(NCCC1CCN(Cc2ccccc2)CC1)Nc1ccccc1,2500.0,intermediate
CHEMBL423777,ON/C(=N\CCC1CCN(Cc2ccccc2)CC1)Nc1ccccc1,10000.0,inactive
CHEMBL158637,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1cccc([N+](=O)[O-])c1,1.5,active
CHEMBL349694,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)C(=O)c1ccccc1-2,80.0,active
CHEMBL161607,S=C(NCCC1CCN(Cc2ccccc2)CC1)Nc1cccnc1,500.0,active
CHEMBL659,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,750.0,active
CHEMBL159634,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccccc1[N+](=O)[O-],40.0,active
CHEMBL162750,O=[N+]([O-])/C=C(\NCCC1CCN(Cc2ccccc2)CC1)NCc1ccccc1,120.0,active
CHEMBL161139,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc(Cl)cc1,20.0,active
CHEMBL161190,S=C(NCCC1CCN(Cc2ccccc2)CC1)Nc1ccccc1,250.0,active
CHEMBL94,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,190.0,active
CHEMBL159553,CN(CCC1CCN(Cc2ccccc2)CC1)/C(S)=N/c1ccccc1,3000.0,intermediate
CHEMBL161269,FC(F)(F)c1cccc(N/C(S)=N/CCC2CCN(Cc3ccccc3)CC2)c1,210.0,active
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,110.0,active
CHEMBL161779,O=[N+]([O-])/C=C(\NCCC1CCN(Cc2ccccc2)CC1)Nc1ccccc1,80.0,active
CHEMBL160008,COc1ccc(N/C(S)=N/CCC2CCN(Cc3ccccc3)CC2)cc1,150.0,active
CHEMBL159779,COc1ccc(N/C(S)=N/CCC2CCN(Cc3ccc([N+](=O)[O-])cc3)CC2)cc1OC,2100.0,intermediate
CHEMBL440547,O=C(NC(=S)NCCC1CCN(Cc2ccccc2)CC1)c1ccc2c(=O)c3ccccc3oc2c1,11.0,active
CHEMBL159333,O=C(O)C(=O)O.c1ccc(C2=NNC(NCCN3CCCCC3)=NC2)cc1,47000.0,inactive
CHEMBL557161,Cl.Nc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,270000.0,inactive
CHEMBL423639,c1ccc(-c2ncc(NCCN3CCCCC3)nn2)cc1,57000.0,inactive
CHEMBL542287,Cl.OCc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,440000.0,inactive
CHEMBL553467,Cl.FC(F)(F)c1cc(-c2ccccc2)nnc1NCCN1CCOCC1,740000.0,inactive
CHEMBL536467,Cc1cc(-c2ccc3c(c2)OCO3)nnc1NCCN1CCCCC1.Cl,1000.0,active
CHEMBL538556,Cc1cc(-c2ccccc2)nnc1NCCN1CCCCC1.Cl,5400.0,intermediate
CHEMBL542771,Cl.N#Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1,100000.0,inactive
CHEMBL544887,Cl.c1ccc(-c2ccc(NCCN3CCOCC3)nn2)cc1,1000000.0,inactive
CHEMBL351412,O=C(O)C(=O)O.c1ccc(-c2cnc(NCCN3CCCCC3)nn2)cc1,60000.0,inactive
CHEMBL538098,Cl.c1ccc(-c2ccc(NCCN3CCCCC3)nn2)cc1,13000.0,inactive
CHEMBL540602,Cc1cc(-c2ccc(Cl)cc2)nnc1NCCN1CCOCC1.Cl,34000.0,inactive
CHEMBL351647,c1ccc(-c2ccc(NCCN3CCCCC3)nc2)cc1,70000.0,inactive
CHEMBL536932,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1.Cl,85000.0,inactive
CHEMBL163508,Cc1cc(-c2ccc(Cl)cc2)nnc1NCCN1CCCCC1.O=C(O)C(=O)O,1300.0,intermediate
CHEMBL349073,c1ccc(-c2nnc(NCCN3CCCCC3)s2)cc1,54000.0,inactive
CHEMBL541356,Cl.c1ccc(-c2cc(-c3ccccc3)c(NCCN3CCOCC3)nn2)cc1,260000.0,inactive
CHEMBL164797,c1ccc(-c2cnc(NCCN3CCCCC3)nc2)cc1,100000.0,inactive
CHEMBL541853,CN(C)CCCCCCCCNc1c2c(nc3ccccc13)CCCC2.Cl,47.0,active
CHEMBL542477,CN(C)CCCCCCCCCNc1c2c(nc3ccccc13)CCCC2.Cl,71.0,active
CHEMBL545539,Cl.c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,10.1,active
CHEMBL545774,Cl.NCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,131.0,active
CHEMBL540830,Cl.NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,319.0,active
CHEMBL544369,Cl.c1ccc2c(NCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,38.7,active
CHEMBL542732,CN(C)CCCCCCCNc1c2c(nc3ccccc13)CCCC2.Cl,52.0,active
CHEMBL544603,Cl.NCCCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,180.0,active
CHEMBL544143,Cl.c1ccc2c(NCCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,176.0,active
CHEMBL542236,Cl.c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,8.8,active
CHEMBL1677,Cl.Nc1c2c(nc3ccccc13)CCCC2,223.0,active
CHEMBL557225,Cc1cccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc12)CCCC3.Cl,7.8,active
CHEMBL542482,Cl.c1ccc2c(NCCCCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,261.0,active
CHEMBL284348,Nc1ccncc1,500000.0,inactive
CHEMBL543906,Cl.c1ccc2c(NCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,13.6,active
CHEMBL542234,Cl.c1ccc2c(NCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,12.8,active
CHEMBL58146,Nc1ccnc2ccccc12,50700.0,inactive
CHEMBL543667,Cl.c1ccc2c(NCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,83.6,active
CHEMBL555320,Cc1cccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc12)CCCC3.Cl,1.5,active
CHEMBL539811,CN(C)CCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2.Cl,45.0,active
CHEMBL538533,CN(C)CCCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2.Cl,264.0,active
CHEMBL540837,Cl.NCCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,147.0,active
CHEMBL544605,Cl.NCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,89.4,active
CHEMBL347914,CCCN(c1ccncc1)n1ccc2cc(Br)ccc21,100000.0,inactive
CHEMBL346142,CCCN(c1ccncc1)n1ncc2ccccc21.O=C(O)/C=C/C(=O)O,100000.0,inactive
CHEMBL154735,CCCN(c1cc(Cl)ncn1)n1ccc2ccccc21,100000.0,inactive
CHEMBL155109,CCCCN(c1ccncc1)n1ccc2ccccc21,62000.0,inactive
CHEMBL348034,C#CCN(c1ccncc1)n1ccc2ccccc21,100000.0,inactive
CHEMBL154488,c1ccc2c(c1)ccn2Nc1ccncc1,100000.0,inactive
CHEMBL157902,CN(c1ccncc1)n1ccc2cc([N+](=O)[O-])ccc21,100000.0,inactive
CHEMBL345251,CCCN(c1ccncn1)n1ccc2ccccc21,100000.0,inactive
CHEMBL152842,CN(c1ccncc1)n1ccc2ccccc21,100000.0,inactive
CHEMBL154228,CCCN(c1ccncc1)n1cc(CC)c2ccccc21,20000.0,inactive
CHEMBL345439,CCCN(c1ccncc1)n1cc2ccccc2n1,100000.0,inactive
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,320.0,active
